,truth,error
0,1100,5
1,1100,6
2,1100,5
3,1100,5
4,1100,5
5,1100,5
6,1100,5
7,1100,6
8,1100,5
9,1100,6
10,1100,5
11,1100,6
12,1100,5
13,1100,6
14,1100,5
15,1100,6
16,1100,5
17,1100,6
18,1100,5
19,1100,6
20,1100,5
21,1100,6
22,1100,5
23,1100,6
24,1100,5
25,1100,6
26,1100,5
27,1100,6
28,1100,6
29,1100,6
30,1100,6
31,1100,6
32,1100,6
33,1100,6
34,1100,5
35,1100,6
36,1100,5
37,1100,6
38,1100,5
39,1100,6
40,1100,5
41,1100,6
42,1100,6
43,1100,6
44,1100,6
45,1100,6
46,1100,6
47,1100,6
48,1100,6
49,1100,6
50,1100,5
51,1100,6
52,1100,5
53,1100,6
54,1100,6
55,1100,6
56,1100,6
57,1100,6
58,1100,6
59,1100,6
60,1100,6
61,1100,6
62,1100,6
63,1100,6
64,1100,5
65,1100,6
66,1100,6
67,1100,6
68,1100,6
69,1100,6
70,1100,5
71,1100,6
72,1100,5
73,1100,5
74,1100,5
75,1100,6
76,1100,5
77,1100,6
78,1100,6
79,1100,6
80,1100,6
81,1100,6
82,1100,6
83,1100,6
84,1100,6
85,1100,6
86,1100,6
87,1100,6
88,1100,6
89,1100,6
90,1100,5
91,1100,6
92,1100,5
93,1100,6
94,1100,6
95,1100,6
96,1100,6
97,1100,6
98,1100,6
99,1100,6
100,1200,5
101,1200,5
102,1200,4
103,1200,4
104,1200,4
105,1200,4
106,1200,4
107,1200,5
108,1200,5
109,1200,5
110,1200,5
111,1200,5
112,1200,4
113,1200,4
114,1200,4
115,1200,5
116,1200,5
117,1200,5
118,1200,5
119,1200,5
120,1200,5
121,1200,4
122,1200,5
123,1200,5
124,1200,5
125,1200,4
126,1200,5
127,1200,5
128,1200,5
129,1200,5
130,1200,5
131,1200,4
132,1200,4
133,1200,4
134,1200,5
135,1200,5
136,1200,5
137,1200,4
138,1200,5
139,1200,5
140,1200,5
141,1200,5
142,1200,5
143,1200,4
144,1200,4
145,1200,4
146,1200,4
147,1200,5
148,1200,5
149,1200,5
150,1200,4
151,1200,4
152,1200,4
153,1200,4
154,1200,4
155,1200,4
156,1200,4
157,1200,4
158,1200,4
159,1200,4
160,1200,5
161,1200,5
162,1200,5
163,1200,5
164,1200,5
165,1200,5
166,1200,5
167,1200,5
168,1200,5
169,1200,5
170,1200,5
171,1200,5
172,1200,5
173,1200,5
174,1200,5
175,1200,5
176,1200,5
177,1200,5
178,1200,5
179,1200,5
180,1200,5
181,1200,5
182,1200,5
183,1200,5
184,1200,5
185,1200,5
186,1200,5
187,1200,5
188,1200,5
189,1200,5
190,1200,5
191,1200,5
192,1200,5
193,1200,5
194,1200,5
195,1200,5
196,1200,5
197,1200,5
198,1200,5
199,1200,5
200,1300,5
201,1300,6
202,1300,6
203,1300,6
204,1300,5
205,1300,6
206,1300,5
207,1300,6
208,1300,6
209,1300,6
210,1300,6
211,1300,6
212,1300,6
213,1300,6
214,1300,6
215,1300,6
216,1300,5
217,1300,6
218,1300,6
219,1300,6
220,1300,6
221,1300,6
222,1300,5
223,1300,6
224,1300,6
225,1300,6
226,1300,6
227,1300,6
228,1300,5
229,1300,6
230,1300,5
231,1300,6
232,1300,5
233,1300,6
234,1300,5
235,1300,6
236,1300,5
237,1300,6
238,1300,6
239,1300,6
240,1300,6
241,1300,6
242,1300,5
243,1300,6
244,1300,5
245,1300,6
246,1300,5
247,1300,6
248,1300,5
249,1300,6
250,1300,5
251,1300,6
252,1300,5
253,1300,6
254,1300,5
255,1300,6
256,1300,5
257,1300,6
258,1300,5
259,1300,6
260,1300,5
261,1300,6
262,1300,5
263,1300,6
264,1300,6
265,1300,6
266,1300,6
267,1300,6
268,1300,6
269,1300,6
270,1300,5
271,1300,6
272,1300,5
273,1300,6
274,1300,5
275,1300,6
276,1300,6
277,1300,6
278,1300,6
279,1300,6
280,1300,5
281,1300,6
282,1300,6
283,1300,6
284,1300,6
285,1300,6
286,1300,5
287,1300,6
288,1300,5
289,1300,6
290,1300,6
291,1300,6
292,1300,5
293,1300,6
294,1300,5
295,1300,6
296,1300,5
297,1300,6
298,1300,6
299,1300,6
300,1400,5
301,1400,6
302,1400,5
303,1400,6
304,1400,5
305,1400,6
306,1400,5
307,1400,6
308,1400,5
309,1400,5
310,1400,5
311,1400,6
312,1400,5
313,1400,6
314,1400,5
315,1400,5
316,1400,5
317,1400,5
318,1400,5
319,1400,6
320,1400,5
321,1400,6
322,1400,5
323,1400,6
324,1400,5
325,1400,6
326,1400,5
327,1400,6
328,1400,5
329,1400,6
330,1400,5
331,1400,6
332,1400,5
333,1400,6
334,1400,5
335,1400,6
336,1400,5
337,1400,6
338,1400,5
339,1400,6
340,1400,5
341,1400,6
342,1400,5
343,1400,6
344,1400,5
345,1400,6
346,1400,5
347,1400,6
348,1400,5
349,1400,6
350,1400,6
351,1400,6
352,1400,5
353,1400,6
354,1400,6
355,1400,6
356,1400,5
357,1400,6
358,1400,5
359,1400,6
360,1400,5
361,1400,6
362,1400,6
363,1400,6
364,1400,5
365,1400,6
366,1400,5
367,1400,6
368,1400,5
369,1400,6
370,1400,5
371,1400,6
372,1400,5
373,1400,6
374,1400,5
375,1400,6
376,1400,5
377,1400,6
378,1400,5
379,1400,6
380,1400,5
381,1400,6
382,1400,5
383,1400,6
384,1400,5
385,1400,6
386,1400,6
387,1400,6
388,1400,5
389,1400,6
390,1400,5
391,1400,5
392,1400,5
393,1400,6
394,1400,5
395,1400,6
396,1400,5
397,1400,6
398,1400,5
399,1400,6
400,1500,5
401,1500,5
402,1500,5
403,1500,5
404,1500,4
405,1500,5
406,1500,5
407,1500,5
408,1500,5
409,1500,5
410,1500,5
411,1500,5
412,1500,5
413,1500,5
414,1500,5
415,1500,6
416,1500,5
417,1500,6
418,1500,5
419,1500,5
420,1500,5
421,1500,5
422,1500,5
423,1500,5
424,1500,5
425,1500,5
426,1500,5
427,1500,5
428,1500,5
429,1500,5
430,1500,5
431,1500,5
432,1500,5
433,1500,5
434,1500,5
435,1500,5
436,1500,5
437,1500,5
438,1500,5
439,1500,5
440,1500,5
441,1500,6
442,1500,5
443,1500,6
444,1500,5
445,1500,6
446,1500,5
447,1500,6
448,1500,5
449,1500,5
450,1500,5
451,1500,5
452,1500,5
453,1500,6
454,1500,5
455,1500,6
456,1500,5
457,1500,6
458,1500,5
459,1500,6
460,1500,5
461,1500,5
462,1500,5
463,1500,6
464,1500,5
465,1500,6
466,1500,5
467,1500,6
468,1500,5
469,1500,6
470,1500,5
471,1500,5
472,1500,5
473,1500,5
474,1500,5
475,1500,5
476,1500,5
477,1500,5
478,1500,5
479,1500,6
480,1500,5
481,1500,6
482,1500,5
483,1500,6
484,1500,5
485,1500,6
486,1500,5
487,1500,6
488,1500,5
489,1500,5
490,1500,5
491,1500,6
492,1500,5
493,1500,5
494,1500,5
495,1500,5
496,1500,5
497,1500,5
498,1500,5
499,1500,5
500,1600,5
501,1600,4
502,1600,5
503,1600,5
504,1600,5
505,1600,5
506,1600,5
507,1600,4
508,1600,5
509,1600,5
510,1600,5
511,1600,5
512,1600,5
513,1600,4
514,1600,5
515,1600,5
516,1600,5
517,1600,5
518,1600,5
519,1600,5
520,1600,5
521,1600,4
522,1600,5
523,1600,4
524,1600,5
525,1600,4
526,1600,5
527,1600,5
528,1600,5
529,1600,4
530,1600,5
531,1600,5
532,1600,5
533,1600,5
534,1600,5
535,1600,5
536,1600,5
537,1600,5
538,1600,5
539,1600,5
540,1600,5
541,1600,5
542,1600,5
543,1600,5
544,1600,5
545,1600,4
546,1600,4
