,truth,error
0,1100,4
1,1100,5
2,1100,4
3,1100,5
4,1100,4
5,1100,5
6,1100,4
7,1100,5
8,1100,4
9,1100,5
10,1100,4
11,1100,5
12,1100,4
13,1100,5
14,1100,4
15,1100,5
16,1100,4
17,1100,5
18,1100,5
19,1100,5
20,1100,5
21,1100,5
22,1100,4
23,1100,5
24,1100,5
25,1100,5
26,1100,5
27,1100,5
28,1100,4
29,1100,5
30,1100,4
31,1100,5
32,1100,4
33,1100,5
34,1100,4
35,1100,5
36,1100,4
37,1100,5
38,1100,4
39,1100,5
40,1100,4
41,1100,5
42,1100,4
43,1100,5
44,1100,4
45,1100,5
46,1100,4
47,1100,5
48,1100,4
49,1100,5
50,1100,4
51,1100,5
52,1100,4
53,1100,5
54,1100,4
55,1100,5
56,1100,4
57,1100,5
58,1100,4
59,1100,5
60,1100,4
61,1100,5
62,1100,4
63,1100,5
64,1100,4
65,1100,5
66,1100,4
67,1100,5
68,1100,4
69,1100,5
70,1100,4
71,1100,5
72,1100,4
73,1100,5
74,1100,5
75,1100,5
76,1100,5
77,1100,5
78,1100,5
79,1100,5
80,1100,5
81,1100,5
82,1100,5
83,1100,5
84,1100,4
85,1100,5
86,1100,4
87,1100,5
88,1100,4
89,1100,5
90,1100,4
91,1100,5
92,1100,4
93,1100,5
94,1100,4
95,1100,5
96,1100,4
97,1100,5
98,1100,4
99,1100,5
100,1200,6
101,1200,6
102,1200,6
103,1200,6
104,1200,6
105,1200,6
106,1200,6
107,1200,6
108,1200,6
109,1200,6
110,1200,6
111,1200,6
112,1200,6
113,1200,6
114,1200,6
115,1200,6
116,1200,6
117,1200,6
118,1200,6
119,1200,6
120,1200,6
121,1200,6
122,1200,6
123,1200,6
124,1200,6
125,1200,6
126,1200,6
127,1200,6
128,1200,6
129,1200,6
130,1200,6
131,1200,6
132,1200,6
133,1200,6
134,1200,6
135,1200,6
136,1200,6
137,1200,6
138,1200,6
139,1200,5
140,1200,6
141,1200,5
142,1200,6
143,1200,5
144,1200,6
145,1200,5
146,1200,6
147,1200,6
148,1200,6
149,1200,5
150,1200,5
151,1200,5
152,1200,5
153,1200,5
154,1200,6
155,1200,6
156,1200,6
157,1200,6
158,1200,6
159,1200,5
160,1200,6
161,1200,6
162,1200,6
163,1200,5
164,1200,6
165,1200,6
166,1200,6
167,1200,6
168,1200,6
169,1200,5
170,1200,6
171,1200,6
172,1200,6
173,1200,6
174,1200,6
175,1200,6
176,1200,6
177,1200,6
178,1200,6
179,1200,5
180,1200,6
181,1200,6
182,1200,6
183,1200,6
184,1200,6
185,1200,6
186,1200,6
187,1200,6
188,1200,6
189,1200,6
190,1200,6
191,1200,6
192,1200,6
193,1200,6
194,1200,6
195,1200,6
196,1200,6
197,1200,5
198,1200,5
199,1200,5
200,1300,5
201,1300,5
202,1300,5
203,1300,5
204,1300,5
205,1300,5
206,1300,6
207,1300,6
208,1300,6
209,1300,5
210,1300,5
211,1300,5
212,1300,5
213,1300,5
214,1300,6
215,1300,5
216,1300,5
217,1300,5
218,1300,6
219,1300,6
220,1300,6
221,1300,5
222,1300,6
223,1300,5
224,1300,6
225,1300,5
226,1300,6
227,1300,5
228,1300,6
229,1300,6
230,1300,6
231,1300,6
232,1300,6
233,1300,6
234,1300,6
235,1300,6
236,1300,6
237,1300,6
238,1300,6
239,1300,5
240,1300,6
241,1300,5
242,1300,6
243,1300,5
244,1300,6
245,1300,5
246,1300,6
247,1300,5
248,1300,5
249,1300,5
250,1300,6
251,1300,5
252,1300,6
253,1300,5
254,1300,6
255,1300,5
256,1300,5
257,1300,5
258,1300,5
259,1300,5
260,1300,6
261,1300,6
262,1300,6
263,1300,5
264,1300,6
265,1300,5
266,1300,5
267,1300,5
268,1300,5
269,1300,5
270,1300,6
271,1300,5
272,1300,6
273,1300,5
274,1300,6
275,1300,6
276,1300,6
277,1300,5
278,1300,5
279,1300,5
280,1300,6
281,1300,6
282,1300,6
283,1300,6
284,1300,6
285,1300,5
286,1300,6
287,1300,6
288,1300,6
289,1300,6
290,1300,5
291,1300,5
292,1300,5
293,1300,5
294,1300,5
295,1300,5
296,1300,6
297,1300,6
298,1300,6
299,1300,5
300,1400,5
301,1400,4
302,1400,5
303,1400,5
304,1400,5
305,1400,4
306,1400,5
307,1400,4
308,1400,5
309,1400,4
310,1400,5
311,1400,4
312,1400,5
313,1400,4
314,1400,5
315,1400,4
316,1400,5
317,1400,4
318,1400,5
319,1400,4
320,1400,5
321,1400,5
322,1400,5
323,1400,4
324,1400,5
325,1400,4
326,1400,5
327,1400,5
328,1400,5
329,1400,4
330,1400,5
331,1400,4
332,1400,5
333,1400,4
334,1400,5
335,1400,4
336,1400,5
337,1400,4
338,1400,5
339,1400,5
340,1400,5
341,1400,4
342,1400,5
343,1400,4
344,1400,5
345,1400,4
346,1400,5
347,1400,4
348,1400,5
349,1400,4
350,1400,5
351,1400,4
352,1400,5
353,1400,4
354,1400,5
355,1400,4
356,1400,5
357,1400,4
358,1400,5
359,1400,5
360,1400,5
361,1400,4
362,1400,5
363,1400,5
364,1400,5
365,1400,4
366,1400,5
367,1400,4
368,1400,5
369,1400,5
370,1400,6
371,1400,5
372,1400,5
373,1400,4
374,1400,5
375,1400,4
376,1400,5
377,1400,4
378,1400,5
379,1400,4
380,1400,5
381,1400,4
382,1400,5
383,1400,4
384,1400,5
385,1400,5
386,1400,5
387,1400,4
388,1400,5
389,1400,4
390,1400,5
391,1400,4
392,1400,5
393,1400,4
394,1400,5
395,1400,5
396,1400,5
397,1400,4
398,1400,5
399,1400,4
400,1500,5
401,1500,5
402,1500,5
403,1500,5
404,1500,5
405,1500,5
406,1500,5
407,1500,4
408,1500,5
409,1500,4
410,1500,5
411,1500,4
412,1500,5
413,1500,4
414,1500,5
415,1500,4
416,1500,5
417,1500,4
418,1500,5
419,1500,5
420,1500,5
421,1500,5
422,1500,5
423,1500,5
424,1500,5
425,1500,5
426,1500,5
427,1500,5
428,1500,5
429,1500,5
430,1500,5
431,1500,5
432,1500,5
433,1500,5
434,1500,5
435,1500,4
436,1500,5
437,1500,5
438,1500,5
439,1500,5
440,1500,5
441,1500,5
442,1500,5
443,1500,5
444,1500,5
445,1500,5
446,1500,5
447,1500,5
448,1500,5
449,1500,4
450,1500,5
451,1500,5
452,1500,5
453,1500,5
454,1500,5
455,1500,5
456,1500,5
457,1500,4
458,1500,5
459,1500,4
460,1500,4
461,1500,4
462,1500,5
463,1500,5
464,1500,5
465,1500,5
466,1500,5
467,1500,4
468,1500,5
469,1500,4
470,1500,5
471,1500,5
472,1500,5
473,1500,5
474,1500,5
475,1500,5
476,1500,5
477,1500,4
478,1500,5
479,1500,5
480,1500,5
481,1500,4
482,1500,5
483,1500,4
484,1500,5
485,1500,4
486,1500,5
487,1500,4
488,1500,5
489,1500,4
490,1500,4
491,1500,4
492,1500,5
493,1500,4
494,1500,5
495,1500,4
496,1500,5
497,1500,4
498,1500,5
499,1500,4
500,1600,6
501,1600,6
502,1600,6
503,1600,6
504,1600,6
505,1600,6
506,1600,6
507,1600,6
508,1600,6
509,1600,6
510,1600,6
511,1600,6
512,1600,6
513,1600,6
514,1600,6
515,1600,6
516,1600,6
517,1600,6
518,1600,6
519,1600,6
520,1600,6
521,1600,6
522,1600,6
523,1600,6
524,1600,6
525,1600,6
526,1600,6
527,1600,6
528,1600,6
529,1600,6
530,1600,6
531,1600,6
532,1600,6
533,1600,6
534,1600,6
535,1600,6
536,1600,6
537,1600,6
538,1600,6
539,1600,6
540,1600,6
541,1600,6
542,1600,6
543,1600,6
544,1600,7
545,1600,6
546,1600,6
547,1600,6
548,1600,6
549,1600,6
550,1600,6
551,1600,6
552,1600,6
553,1600,6
554,1600,6
555,1600,6
556,1600,6
557,1600,7
558,1600,7
559,1600,7
560,1600,7
561,1600,7
562,1600,7
563,1600,7
564,1600,6
565,1600,6
566,1600,6
567,1600,6
568,1600,6
569,1600,6
570,1600,6
571,1600,6
572,1600,6
