,Unnamed: 0,truth,error,sensor
0,0,1100,6.0,2
1,1,1100,6.0,2
2,2,1100,6.0,2
3,3,1100,6.0,2
4,4,1100,6.0,2
5,5,1100,7.0,2
6,6,1100,6.0,2
7,7,1100,6.0,2
8,8,1100,6.0,2
9,9,1100,6.0,2
10,10,1100,6.0,2
11,11,1100,7.0,2
12,12,1100,6.0,2
13,13,1100,7.0,2
14,14,1100,6.0,2
15,15,1100,7.0,2
16,16,1100,6.0,2
17,17,1100,7.0,2
18,18,1100,6.0,2
19,19,1100,6.0,2
20,20,1100,6.0,2
21,21,1100,6.0,2
22,22,1100,6.0,2
23,23,1100,7.0,2
24,24,1100,6.0,2
25,25,1100,7.0,2
26,26,1100,6.0,2
27,27,1100,7.0,2
28,28,1100,6.0,2
29,29,1100,7.0,2
30,30,1100,6.0,2
31,31,1100,6.0,2
32,32,1100,6.0,2
33,33,1100,6.0,2
34,34,1100,6.0,2
35,35,1100,7.0,2
36,36,1100,6.0,2
37,37,1100,7.0,2
38,38,1100,6.0,2
39,39,1100,7.0,2
40,40,1100,6.0,2
41,41,1100,7.0,2
42,42,1100,6.0,2
43,43,1100,7.0,2
44,44,1100,6.0,2
45,45,1100,7.0,2
46,46,1100,6.0,2
47,47,1100,7.0,2
48,48,1100,6.0,2
49,49,1100,6.0,2
50,50,1100,6.0,2
51,51,1100,6.0,2
52,52,1100,6.0,2
53,53,1100,6.0,2
54,54,1100,6.0,2
55,55,1100,7.0,2
56,56,1100,6.0,2
57,57,1100,7.0,2
58,58,1100,6.0,2
59,59,1100,7.0,2
60,60,1100,6.0,2
61,61,1100,7.0,2
62,62,1100,6.0,2
63,63,1100,7.0,2
64,64,1100,6.0,2
65,65,1100,7.0,2
66,66,1100,6.0,2
67,67,1100,7.0,2
68,68,1100,6.0,2
69,69,1100,7.0,2
70,70,1100,6.0,2
71,71,1100,7.0,2
72,72,1100,6.0,2
73,73,1100,7.0,2
74,74,1100,6.0,2
75,75,1100,6.0,2
76,76,1100,6.0,2
77,77,1100,6.0,2
78,78,1100,6.0,2
79,79,1100,6.0,2
80,80,1100,6.0,2
81,81,1100,6.0,2
82,82,1100,6.0,2
83,83,1100,6.0,2
84,84,1100,6.0,2
85,85,1100,7.0,2
86,86,1100,6.0,2
87,87,1100,7.0,2
88,88,1100,6.0,2
89,89,1100,7.0,2
90,90,1100,6.0,2
91,91,1100,6.0,2
92,92,1100,6.0,2
93,93,1100,7.0,2
94,94,1100,6.0,2
95,95,1100,7.0,2
96,96,1100,6.0,2
97,97,1100,7.0,2
98,98,1100,6.0,2
99,99,1100,7.0,2
100,100,1200,7.0,2
101,101,1200,7.0,2
102,102,1200,6.0,2
103,103,1200,7.0,2
104,104,1200,6.0,2
105,105,1200,7.0,2
106,106,1200,6.0,2
107,107,1200,7.0,2
108,108,1200,7.0,2
109,109,1200,7.0,2
110,110,1200,6.0,2
111,111,1200,7.0,2
112,112,1200,6.0,2
113,113,1200,7.0,2
114,114,1200,6.0,2
115,115,1200,7.0,2
116,116,1200,6.0,2
117,117,1200,7.0,2
118,118,1200,6.0,2
119,119,1200,7.0,2
120,120,1200,6.0,2
121,121,1200,7.0,2
122,122,1200,6.0,2
123,123,1200,7.0,2
124,124,1200,6.0,2
125,125,1200,7.0,2
126,126,1200,6.0,2
127,127,1200,7.0,2
128,128,1200,6.0,2
129,129,1200,7.0,2
130,130,1200,6.0,2
131,131,1200,7.0,2
132,132,1200,7.0,2
133,133,1200,7.0,2
134,134,1200,7.0,2
135,135,1200,7.0,2
136,136,1200,6.0,2
137,137,1200,7.0,2
138,138,1200,6.0,2
139,139,1200,7.0,2
140,140,1200,6.0,2
141,141,1200,7.0,2
142,142,1200,6.0,2
143,143,1200,7.0,2
144,144,1200,6.0,2
145,145,1200,7.0,2
146,146,1200,6.0,2
147,147,1200,7.0,2
148,148,1200,6.0,2
149,149,1200,7.0,2
150,150,1200,6.0,2
151,151,1200,7.0,2
152,152,1200,6.0,2
153,153,1200,7.0,2
154,154,1200,6.0,2
155,155,1200,7.0,2
156,156,1200,7.0,2
157,157,1200,7.0,2
158,158,1200,7.0,2
159,159,1200,7.0,2
160,160,1200,6.0,2
161,161,1200,7.0,2
162,162,1200,6.0,2
163,163,1200,7.0,2
164,164,1200,6.0,2
165,165,1200,7.0,2
166,166,1200,7.0,2
167,167,1200,7.0,2
168,168,1200,7.0,2
169,169,1200,7.0,2
170,170,1200,7.0,2
171,171,1200,7.0,2
172,172,1200,7.0,2
173,173,1200,7.0,2
174,174,1200,6.0,2
175,175,1200,7.0,2
176,176,1200,6.0,2
177,177,1200,7.0,2
178,178,1200,7.0,2
179,179,1200,7.0,2
180,180,1200,7.0,2
181,181,1200,7.0,2
182,182,1200,7.0,2
183,183,1200,7.0,2
184,184,1200,7.0,2
185,185,1200,7.0,2
186,186,1200,7.0,2
187,187,1200,7.0,2
188,188,1200,7.0,2
189,189,1200,7.0,2
190,190,1200,6.0,2
191,191,1200,7.0,2
192,192,1200,6.0,2
193,193,1200,7.0,2
194,194,1200,6.0,2
195,195,1200,7.0,2
196,196,1200,6.0,2
197,197,1200,7.0,2
198,198,1200,6.0,2
199,199,1200,7.0,2
200,200,1300,8.0,2
201,201,1300,8.0,2
202,202,1300,7.0,2
203,203,1300,8.0,2
204,204,1300,7.0,2
205,205,1300,8.0,2
206,206,1300,8.0,2
207,207,1300,8.0,2
208,208,1300,7.0,2
209,209,1300,8.0,2
210,210,1300,7.0,2
211,211,1300,8.0,2
212,212,1300,8.0,2
213,213,1300,8.0,2
214,214,1300,8.0,2
215,215,1300,8.0,2
216,216,1300,8.0,2
217,217,1300,8.0,2
218,218,1300,8.0,2
219,219,1300,8.0,2
220,220,1300,8.0,2
221,221,1300,8.0,2
222,222,1300,7.0,2
223,223,1300,8.0,2
224,224,1300,8.0,2
225,225,1300,8.0,2
226,226,1300,8.0,2
227,227,1300,8.0,2
228,228,1300,8.0,2
229,229,1300,8.0,2
230,230,1300,8.0,2
231,231,1300,8.0,2
232,232,1300,8.0,2
233,233,1300,8.0,2
234,234,1300,8.0,2
235,235,1300,8.0,2
236,236,1300,8.0,2
237,237,1300,8.0,2
238,238,1300,7.0,2
239,239,1300,8.0,2
240,240,1300,7.0,2
241,241,1300,8.0,2
242,242,1300,8.0,2
243,243,1300,8.0,2
244,244,1300,7.0,2
245,245,1300,8.0,2
246,246,1300,7.0,2
247,247,1300,8.0,2
248,248,1300,7.0,2
249,249,1300,8.0,2
250,250,1300,7.0,2
251,251,1300,7.0,2
252,252,1300,7.0,2
253,253,1300,7.0,2
254,254,1300,7.0,2
255,255,1300,7.0,2
256,256,1300,7.0,2
257,257,1300,7.0,2
258,258,1300,7.0,2
259,259,1300,7.0,2
260,260,1300,7.0,2
261,261,1300,7.0,2
262,262,1300,7.0,2
263,263,1300,7.0,2
264,264,1300,7.0,2
265,265,1300,8.0,2
